day,category,channel,device,revenue_krw
2026-07-01,all,ch012,dv001,100
2026-06-01,all,ch012,dv002,101
2026-07-01,all,ch012,dv003,102
2026-06-01,all,ch012,dv004,103
2026-07-01,all,ch012,dv005,104
2026-06-01,all,ch012,dv006,105
2026-07-01,all,ch012,dv007,106
2026-06-01,all,ch012,dv008,100
2026-07-01,all,ch012,dv009,101
2026-06-01,all,ch012,dv010,102
2026-07-01,all,ch013,dv000,103
2026-06-01,all,ch013,dv001,104
2026-07-01,all,ch013,dv002,105
2026-06-01,all,ch013,dv003,106
2026-07-01,all,ch013,dv004,100
2026-06-01,all,ch013,dv005,101
2026-07-01,all,ch013,dv006,102
2026-06-01,all,ch013,dv007,103
2026-07-01,all,ch013,dv008,104
2026-06-01,all,ch013,dv009,105
2026-07-01,all,ch013,dv010,106
2026-06-01,all,ch014,dv000,100
2026-07-01,all,ch014,dv001,101
2026-06-01,all,ch014,dv002,102
2026-07-01,all,ch014,dv003,103
2026-06-01,all,ch014,dv004,104
2026-07-01,all,ch014,dv005,105
2026-06-01,all,ch014,dv006,106
2026-07-01,all,ch014,dv007,100
2026-06-01,all,ch014,dv008,101
2026-07-01,all,ch014,dv009,102
2026-06-01,all,ch014,dv010,103
2026-07-01,all,ch015,dv000,104
2026-06-01,all,ch015,dv001,105
2026-07-01,all,ch015,dv002,106
2026-06-01,all,ch015,dv003,100
2026-07-01,all,ch015,dv004,101
2026-06-01,all,ch015,dv005,102
2026-07-01,all,ch015,dv006,103
2026-06-01,all,ch015,dv007,104
2026-07-01,all,ch015,dv008,105
2026-06-01,all,ch015,dv009,106
2026-07-01,all,ch015,dv010,100
2026-06-01,all,ch016,dv000,101
2026-07-01,all,ch016,dv001,102
2026-06-01,all,ch016,dv002,103
2026-07-01,all,ch016,dv003,104
2026-06-01,all,ch016,dv004,105
2026-07-01,all,ch016,dv005,106
2026-06-01,all,ch016,dv006,100
2026-07-01,all,ch016,dv007,101
2026-06-01,all,ch016,dv008,102
2026-07-01,all,ch016,dv009,103
2026-06-01,all,ch016,dv010,104
2026-07-01,all,ch017,dv000,105
2026-06-01,all,ch017,dv001,106
2026-07-01,all,ch017,dv002,100
2026-06-01,all,ch017,dv003,101
2026-07-01,all,ch017,dv004,102
2026-06-01,all,ch017,dv005,103
2026-07-01,all,ch017,dv006,104
2026-06-01,all,ch017,dv007,105
2026-07-01,all,ch017,dv008,106
2026-06-01,all,ch017,dv009,100
2026-07-01,all,ch017,dv010,101
2026-06-01,all,ch018,dv000,102
2026-07-01,all,ch018,dv001,103
2026-06-01,all,ch018,dv002,104
2026-07-01,all,ch018,dv003,105
2026-06-01,all,ch018,dv004,106
2026-07-01,all,ch018,dv005,100
2026-06-01,all,ch018,dv006,101
2026-07-01,all,ch018,dv007,102
2026-06-01,all,ch018,dv008,103
2026-07-01,all,ch018,dv009,104
2026-06-01,all,ch018,dv010,105
2026-07-01,all,ch019,dv000,106
2026-06-01,all,ch019,dv001,100
2026-07-01,all,ch019,dv002,101
2026-06-01,all,ch019,dv003,102
2026-07-01,all,ch019,dv004,103
2026-06-01,all,ch019,dv005,104
2026-07-01,all,ch019,dv006,105
2026-06-01,all,ch019,dv007,106
2026-07-01,all,ch019,dv008,100
2026-06-01,all,ch019,dv009,101
2026-07-01,all,ch019,dv010,102
2026-06-01,all,ch020,dv000,103
2026-07-01,all,ch020,dv001,104
2026-06-01,all,ch020,dv002,105
2026-07-01,all,ch020,dv003,106
2026-06-01,all,ch020,dv004,100
2026-07-01,all,ch020,dv005,101
2026-06-01,all,ch020,dv006,102
2026-07-01,all,ch020,dv007,103
2026-06-01,all,ch020,dv008,104
2026-07-01,all,ch020,dv009,105
2026-06-01,all,ch020,dv010,106
2026-07-01,all,ch021,dv000,100
2026-06-01,all,ch021,dv001,101
2026-07-01,all,ch021,dv002,102
2026-06-01,all,ch021,dv003,103
2026-07-01,all,ch021,dv004,104
2026-06-01,all,ch021,dv005,105
2026-07-01,all,ch021,dv006,106
2026-06-01,all,ch021,dv007,100
2026-07-01,all,ch021,dv008,101
2026-06-01,all,ch021,dv009,102
2026-07-01,all,ch021,dv010,103
2026-06-01,all,ch022,dv000,104
2026-07-01,all,ch022,dv001,105
2026-06-01,all,ch022,dv002,106
2026-07-01,all,ch022,dv003,100
2026-06-01,all,ch022,dv004,101
2026-07-01,all,ch022,dv005,102
2026-06-01,all,ch022,dv006,103
2026-07-01,all,ch022,dv007,104
2026-06-01,all,ch022,dv008,105
2026-07-01,all,ch022,dv009,106
2026-06-01,all,ch022,dv010,100
2026-07-01,all,ch023,dv000,101
2026-06-01,all,ch023,dv001,102
2026-07-01,all,ch023,dv002,103
2026-06-01,all,ch023,dv003,104
2026-07-01,all,ch023,dv004,105
2026-06-01,all,ch023,dv005,106
2026-07-01,all,ch023,dv006,100
2026-06-01,all,ch023,dv007,101
2026-07-01,all,ch023,dv008,102
2026-06-01,all,ch023,dv009,103
2026-07-01,all,ch023,dv010,104
2026-06-01,all,ch024,dv000,105
2026-07-01,all,ch024,dv001,106
2026-06-01,all,ch024,dv002,100
2026-07-01,all,ch024,dv003,101
2026-06-01,all,ch024,dv004,102
2026-07-01,all,ch024,dv005,103
2026-06-01,all,ch024,dv006,104
2026-07-01,all,ch024,dv007,105
2026-06-01,all,ch024,dv008,106
2026-07-01,all,ch024,dv009,100
2026-06-01,all,ch024,dv010,101
2026-07-01,all,ch025,dv000,102
2026-06-01,all,ch025,dv001,103
2026-07-01,all,ch025,dv002,104
2026-06-01,all,ch025,dv003,105
2026-07-01,all,ch025,dv004,106
2026-06-01,all,ch025,dv005,100
2026-07-01,all,ch025,dv006,101
2026-06-01,all,ch025,dv007,102
2026-07-01,all,ch025,dv008,103
2026-06-01,all,ch025,dv009,104
2026-07-01,all,ch025,dv010,105
2026-06-01,all,ch026,dv000,106
2026-07-01,all,ch026,dv001,100
2026-06-01,all,ch026,dv002,101
2026-07-01,all,ch026,dv003,102
2026-06-01,all,ch026,dv004,103
2026-07-01,all,ch026,dv005,104
2026-06-01,all,ch026,dv006,105
2026-07-01,all,ch026,dv007,106
2026-06-01,all,ch026,dv008,100
2026-07-01,all,ch026,dv009,101
2026-06-01,all,ch026,dv010,102
2026-07-01,all,ch027,dv000,103
2026-06-01,all,ch027,dv001,104
2026-07-01,all,ch027,dv002,105
2026-06-01,all,ch027,dv003,106
2026-07-01,all,ch027,dv004,100
2026-06-01,all,ch027,dv005,101
2026-07-01,all,ch027,dv006,102
2026-06-01,all,ch027,dv007,103
2026-07-01,all,ch027,dv008,104
2026-06-01,all,ch027,dv009,105
2026-07-01,all,ch027,dv010,106
2026-06-01,all,ch028,dv000,100
2026-07-01,all,ch028,dv001,101
2026-06-01,all,ch028,dv002,102
2026-07-01,all,ch028,dv003,103
2026-06-01,all,ch028,dv004,104
2026-07-01,all,ch028,dv005,105
2026-06-01,all,ch028,dv006,106
2026-07-01,all,ch028,dv007,100
2026-06-01,all,ch028,dv008,101
2026-07-01,all,ch028,dv009,102
2026-06-01,all,ch028,dv010,103
2026-07-01,all,ch029,dv000,104
2026-06-01,all,ch029,dv001,105
2026-07-01,all,ch029,dv002,106
2026-06-01,all,ch029,dv003,100
2026-07-01,all,ch029,dv004,101
2026-06-01,all,ch029,dv005,102
2026-07-01,all,ch029,dv006,103
2026-06-01,all,ch029,dv007,104
2026-07-01,all,ch029,dv008,105
2026-06-01,all,ch029,dv009,106
2026-07-01,all,ch029,dv010,100
2026-06-01,all,ch030,dv000,101
2026-07-01,all,ch030,dv001,102
2026-06-01,all,ch030,dv002,103
2026-07-01,all,ch030,dv003,104
2026-06-01,all,ch030,dv004,105
2026-07-01,all,ch030,dv005,106
2026-06-01,all,ch030,dv006,100
2026-07-01,all,ch030,dv007,101
2026-06-01,all,ch030,dv008,102
2026-07-01,all,ch030,dv009,103
2026-06-01,all,ch030,dv010,104
2026-07-01,all,ch031,dv000,105
2026-06-01,all,ch031,dv001,106
2026-07-01,all,ch031,dv002,100
2026-06-01,all,ch031,dv003,101
2026-07-01,all,ch031,dv004,102
2026-06-01,all,ch031,dv005,103
2026-07-01,all,ch031,dv006,104
2026-06-01,all,ch031,dv007,105
2026-07-01,all,ch031,dv008,106
2026-06-01,all,ch031,dv009,100
2026-07-01,all,ch031,dv010,101
2026-06-01,all,ch032,dv000,102
2026-07-01,all,ch032,dv001,103
2026-06-01,all,ch032,dv002,104
2026-07-01,all,ch032,dv003,105
2026-06-01,all,ch032,dv004,106
2026-07-01,all,ch032,dv005,100
2026-06-01,all,ch032,dv006,101
2026-07-01,all,ch032,dv007,102
2026-06-01,all,ch032,dv008,103
2026-07-01,all,ch032,dv009,104
2026-06-01,all,ch032,dv010,105
2026-07-01,all,ch033,dv000,106
2026-06-01,all,ch033,dv001,100
2026-07-01,all,ch033,dv002,101
2026-06-01,all,ch033,dv003,102
2026-07-01,all,ch033,dv004,103
2026-06-01,all,ch033,dv005,104
2026-07-01,all,ch033,dv006,105
2026-06-01,all,ch033,dv007,106
2026-07-01,all,ch033,dv008,100
2026-06-01,all,ch033,dv009,101
2026-07-01,all,ch033,dv010,102
2026-06-01,all,ch034,dv000,103
2026-07-01,all,ch034,dv001,104
2026-06-01,all,ch034,dv002,105
2026-07-01,all,ch034,dv003,106
2026-06-01,all,ch034,dv004,100
2026-07-01,all,ch034,dv005,101
2026-06-01,all,ch034,dv006,102
2026-07-01,all,ch034,dv007,103
2026-06-01,all,ch034,dv008,104
2026-07-01,all,ch034,dv009,105
2026-06-01,all,ch034,dv010,106
2026-07-01,all,ch035,dv000,100
2026-06-01,all,ch035,dv001,101
2026-07-01,all,ch035,dv002,102
2026-06-01,all,ch035,dv003,103
2026-07-01,all,ch035,dv004,104
2026-06-01,all,ch035,dv005,105
2026-07-01,all,ch035,dv006,106
2026-06-01,all,ch035,dv007,100
2026-07-01,all,ch035,dv008,101
2026-06-01,all,ch035,dv009,102
2026-07-01,all,ch035,dv010,103
2026-06-01,all,ch036,dv000,104
2026-07-01,all,ch036,dv001,105
2026-06-01,all,ch036,dv002,106
2026-07-01,all,ch036,dv003,100
2026-06-01,all,ch036,dv004,101
2026-07-01,all,ch036,dv005,102
2026-06-01,all,ch036,dv006,103
2026-07-01,all,ch036,dv007,104
2026-06-01,all,ch036,dv008,105
2026-07-01,all,ch036,dv009,106
2026-06-01,all,ch036,dv010,100
2026-07-01,all,ch037,dv000,101
2026-06-01,all,ch037,dv001,102
2026-07-01,all,ch037,dv002,103
2026-06-01,all,ch037,dv003,104
2026-07-01,all,ch037,dv004,105
2026-06-01,all,ch037,dv005,106
2026-07-01,all,ch037,dv006,100
2026-06-01,all,ch037,dv007,101
2026-07-01,all,ch037,dv008,102
2026-06-01,all,ch037,dv009,103
2026-07-01,all,ch037,dv010,104
2026-06-01,all,ch038,dv000,105
2026-07-01,all,ch038,dv001,106
2026-06-01,all,ch038,dv002,100
2026-07-01,all,ch038,dv003,101
2026-06-01,all,ch038,dv004,102
2026-07-01,all,ch038,dv005,103
2026-06-01,all,ch038,dv006,104
2026-07-01,all,ch038,dv007,105
2026-06-01,all,ch038,dv008,106
2026-07-01,all,ch038,dv009,100
2026-06-01,all,ch038,dv010,101
2026-07-01,all,ch039,dv000,102
2026-06-01,all,ch039,dv001,103
2026-07-01,all,ch039,dv002,104
2026-06-01,all,ch039,dv003,105
2026-07-01,all,ch039,dv004,106
2026-06-01,all,ch039,dv005,100
2026-07-01,all,ch039,dv006,101
2026-06-01,all,ch039,dv007,102
2026-07-01,all,ch039,dv008,103
2026-06-01,all,ch039,dv009,104
2026-07-01,all,ch039,dv010,105
2026-06-01,all,ch040,dv000,106
2026-07-01,all,ch040,dv001,100
2026-06-01,all,ch040,dv002,101
2026-07-01,all,ch040,dv003,102
2026-06-01,all,ch040,dv004,103
2026-07-01,all,ch040,dv005,104
2026-06-01,all,ch040,dv006,105
2026-07-01,all,ch040,dv007,106
2026-06-01,all,ch040,dv008,100
2026-07-01,all,ch040,dv009,101
2026-06-01,all,ch040,dv010,102
2026-07-01,all,ch041,dv000,103
2026-06-01,all,ch041,dv001,104
2026-07-01,all,ch041,dv002,105
2026-06-01,all,ch041,dv003,106
2026-07-01,all,ch041,dv004,100
2026-06-01,all,ch041,dv005,101
2026-07-01,all,ch041,dv006,102
2026-06-01,all,ch041,dv007,103
2026-07-01,all,ch041,dv008,104
2026-06-01,all,ch041,dv009,105
2026-07-01,all,ch041,dv010,106
2026-06-01,all,ch042,dv000,100
2026-07-01,all,ch042,dv001,101
2026-06-01,all,ch042,dv002,102
2026-07-01,all,ch042,dv003,103
2026-06-01,all,ch042,dv004,104
2026-07-01,all,ch042,dv005,105
2026-06-01,all,ch042,dv006,106
2026-07-01,all,ch042,dv007,100
2026-06-01,all,ch042,dv008,101
2026-07-01,all,ch042,dv009,102
2026-06-01,all,ch042,dv010,103
2026-07-01,all,ch043,dv000,104
2026-06-01,all,ch043,dv001,105
2026-07-01,all,ch043,dv002,106
2026-06-01,all,ch043,dv003,100
2026-07-01,all,ch043,dv004,101
2026-06-01,all,ch043,dv005,102
2026-07-01,all,ch043,dv006,103
2026-06-01,all,ch043,dv007,104
2026-07-01,all,ch043,dv008,105
2026-06-01,all,ch043,dv009,106
2026-07-01,all,ch043,dv010,100
2026-06-01,all,ch044,dv000,101
2026-07-01,all,ch044,dv001,102
2026-06-01,all,ch044,dv002,103
2026-07-01,all,ch044,dv003,104
2026-06-01,all,ch044,dv004,105
2026-07-01,all,ch044,dv005,106
2026-06-01,all,ch044,dv006,100
2026-07-01,all,ch044,dv007,101
2026-06-01,all,ch044,dv008,102
2026-07-01,all,ch044,dv009,103
2026-06-01,all,ch044,dv010,104
2026-07-01,all,ch045,dv000,105
2026-06-01,all,ch045,dv001,106
2026-07-01,all,ch045,dv002,100
2026-06-01,all,ch045,dv003,101
2026-07-01,all,ch045,dv004,102
2026-06-01,all,ch045,dv005,103
2026-07-01,all,ch045,dv006,104
2026-06-01,all,ch045,dv007,105
2026-07-01,all,ch045,dv008,106
2026-06-01,all,ch045,dv009,100
2026-07-01,all,ch045,dv010,101
2026-06-01,all,ch046,dv000,102
2026-07-01,all,ch046,dv001,103
2026-06-01,all,ch046,dv002,104
2026-07-01,all,ch046,dv003,105
2026-06-01,all,ch046,dv004,106
2026-07-01,all,ch046,dv005,100
2026-06-01,all,ch046,dv006,101
2026-07-01,all,ch046,dv007,102
2026-06-01,all,ch046,dv008,103
2026-07-01,all,ch046,dv009,104
2026-06-01,all,ch046,dv010,105
2026-07-01,all,ch047,dv000,106
2026-06-01,all,ch047,dv001,100
2026-07-01,all,ch047,dv002,101
2026-06-01,all,ch047,dv003,102
2026-07-01,all,ch047,dv004,103
2026-06-01,all,ch047,dv005,104
2026-07-01,all,ch047,dv006,105
2026-06-01,all,ch047,dv007,106
2026-07-01,all,ch047,dv008,100
2026-06-01,all,ch047,dv009,101
2026-07-01,all,ch047,dv010,102
2026-06-01,all,ch048,dv000,103
2026-07-01,all,ch048,dv001,104
2026-06-01,all,ch048,dv002,105
2026-07-01,all,ch048,dv003,106
2026-06-01,all,ch048,dv004,100
2026-07-01,all,ch048,dv005,101
2026-06-01,all,ch048,dv006,102
2026-07-01,all,ch048,dv007,103
2026-06-01,all,ch048,dv008,104
2026-07-01,all,ch048,dv009,105
2026-06-01,all,ch048,dv010,106
2026-07-01,all,ch049,dv000,100
2026-06-01,all,ch049,dv001,101
2026-07-01,all,ch049,dv002,102
2026-06-01,all,ch049,dv003,103
2026-07-01,all,ch049,dv004,104
2026-06-01,all,ch049,dv005,105
2026-07-01,all,ch049,dv006,106
2026-06-01,all,ch049,dv007,100
2026-07-01,all,ch049,dv008,101
2026-06-01,all,ch049,dv009,102
2026-07-01,all,ch049,dv010,103
2026-06-01,all,ch050,dv000,104
2026-07-01,all,ch050,dv001,105
2026-06-01,all,ch050,dv002,106
2026-07-01,all,ch050,dv003,100
2026-06-01,all,ch050,dv004,101
2026-07-01,all,ch050,dv005,102
2026-06-01,all,ch050,dv006,103
2026-07-01,all,ch050,dv007,104
2026-06-01,all,ch050,dv008,105
2026-07-01,all,ch050,dv009,106
2026-06-01,all,ch050,dv010,100
2026-07-01,all,ch051,dv000,101
2026-06-01,all,ch051,dv001,102
2026-07-01,all,ch051,dv002,103
2026-06-01,all,ch051,dv003,104
2026-07-01,all,ch051,dv004,105
2026-06-01,all,ch051,dv005,106
2026-07-01,all,ch051,dv006,100
2026-06-01,all,ch051,dv007,101
2026-07-01,all,ch051,dv008,102
2026-06-01,all,ch051,dv009,103
2026-07-01,all,ch051,dv010,104
2026-06-01,all,ch052,dv000,105
2026-07-01,all,ch052,dv001,106
2026-06-01,all,ch052,dv002,100
2026-07-01,all,ch052,dv003,101
2026-06-01,all,ch052,dv004,102
2026-07-01,all,ch052,dv005,103
2026-06-01,all,ch052,dv006,104
2026-07-01,all,ch052,dv007,105
2026-06-01,all,ch052,dv008,106
2026-07-01,all,ch052,dv009,100
2026-06-01,all,ch052,dv010,101
2026-07-01,all,ch053,dv000,102
2026-06-01,all,ch053,dv001,103
2026-07-01,all,ch053,dv002,104
2026-06-01,all,ch053,dv003,105
2026-07-01,all,ch053,dv004,106
2026-06-01,all,ch053,dv005,100
2026-07-01,all,ch053,dv006,101
2026-06-01,all,ch053,dv007,102
2026-07-01,all,ch053,dv008,103
2026-06-01,all,ch053,dv009,104
2026-07-01,all,ch053,dv010,105
2026-06-01,all,ch054,dv000,106
2026-07-01,all,ch054,dv001,100
2026-06-01,all,ch054,dv002,101
2026-07-01,all,ch054,dv003,102
2026-06-01,all,ch054,dv004,103
2026-07-01,all,ch054,dv005,104
2026-06-01,all,ch054,dv006,105
2026-07-01,all,ch054,dv007,106
2026-06-01,all,ch054,dv008,100
2026-07-01,all,ch054,dv009,101
2026-06-01,all,ch054,dv010,102
2026-07-01,all,ch055,dv000,103
2026-06-01,all,ch055,dv001,104
2026-07-01,all,ch055,dv002,105
2026-06-01,all,ch055,dv003,106
2026-07-01,all,ch055,dv004,100
2026-06-01,all,ch055,dv005,101
2026-07-01,all,ch055,dv006,102
2026-06-01,all,ch055,dv007,103
2026-07-01,all,ch055,dv008,104
2026-06-01,all,ch055,dv009,105
2026-07-01,all,ch055,dv010,106
2026-06-01,all,ch056,dv000,100
2026-07-01,all,ch056,dv001,101
2026-06-01,all,ch056,dv002,102
2026-07-01,all,ch056,dv003,103
2026-06-01,all,ch056,dv004,104
2026-07-01,all,ch056,dv005,105
2026-06-01,all,ch056,dv006,106
2026-07-01,all,ch056,dv007,100
2026-06-01,all,ch056,dv008,101
2026-07-01,all,ch056,dv009,102
2026-06-01,all,ch056,dv010,103
2026-07-01,all,ch057,dv000,104
2026-06-01,all,ch057,dv001,105
2026-07-01,all,ch057,dv002,106
2026-06-01,all,ch057,dv003,100
2026-07-01,all,ch057,dv004,101
2026-06-01,all,ch057,dv005,102
2026-07-01,all,ch057,dv006,103
2026-06-01,all,ch057,dv007,104
2026-07-01,all,ch057,dv008,105
2026-06-01,all,ch057,dv009,106
2026-07-01,all,ch057,dv010,100
2026-06-01,all,ch058,dv000,101
2026-07-01,all,ch058,dv001,102
2026-06-01,all,ch058,dv002,103
2026-07-01,all,ch058,dv003,104
2026-06-01,all,ch058,dv004,105
2026-07-01,all,ch058,dv005,106
2026-06-01,all,ch058,dv006,100
2026-07-01,all,ch058,dv007,101
2026-06-01,all,ch058,dv008,102
2026-07-01,all,ch058,dv009,103
2026-06-01,all,ch058,dv010,104
2026-07-01,all,ch059,dv000,105
2026-06-01,all,ch059,dv001,106
2026-07-01,all,ch059,dv002,100
2026-06-01,all,ch059,dv003,101
2026-07-01,all,ch059,dv004,102
2026-06-01,all,ch059,dv005,103
2026-07-01,all,ch059,dv006,104
2026-06-01,all,ch059,dv007,105
2026-07-01,all,ch059,dv008,106
2026-06-01,all,ch059,dv009,100
2026-07-01,all,ch059,dv010,101
2026-06-01,all,ch060,dv000,102
2026-07-01,all,ch060,dv001,103
2026-06-01,all,ch060,dv002,104
2026-07-01,all,ch060,dv003,105
2026-06-01,all,ch060,dv004,106
2026-07-01,all,ch060,dv005,100
2026-06-01,all,ch060,dv006,101
2026-07-01,all,ch060,dv007,102
2026-06-01,all,ch060,dv008,103
2026-07-01,all,ch060,dv009,104
2026-06-01,all,ch060,dv010,105
2026-07-01,all,ch061,dv000,106
2026-06-01,all,ch061,dv001,100
2026-07-01,all,ch061,dv002,101
2026-06-01,all,ch061,dv003,102
2026-07-01,all,ch061,dv004,103
2026-06-01,all,ch061,dv005,104
2026-07-01,all,ch061,dv006,105
2026-06-01,all,ch061,dv007,106
2026-07-01,all,ch061,dv008,100
2026-06-01,all,ch061,dv009,101
2026-07-01,all,ch061,dv010,102
2026-06-01,all,ch062,dv000,103
2026-07-01,all,ch062,dv001,104
2026-06-01,all,ch062,dv002,105
2026-07-01,all,ch062,dv003,106
2026-06-01,all,ch062,dv004,100
2026-07-01,all,ch062,dv005,101
2026-06-01,all,ch062,dv006,102
2026-07-01,all,ch062,dv007,103
2026-06-01,all,ch062,dv008,104
2026-07-01,all,ch062,dv009,105
2026-06-01,all,ch062,dv010,106
2026-07-01,all,ch063,dv000,100
2026-06-01,all,ch063,dv001,101
2026-07-01,all,ch063,dv002,102
2026-06-01,all,ch063,dv003,103
2026-07-01,all,ch063,dv004,104
2026-06-01,all,ch063,dv005,105
2026-07-01,all,ch063,dv006,106
2026-06-01,all,ch063,dv007,100
2026-07-01,all,ch063,dv008,101
2026-06-01,all,ch063,dv009,102
2026-07-01,all,ch063,dv010,103
2026-06-01,all,ch064,dv000,104
2026-07-01,all,ch064,dv001,105
2026-06-01,all,ch064,dv002,106
2026-07-01,all,ch064,dv003,100
2026-06-01,all,ch064,dv004,101
2026-07-01,all,ch064,dv005,102
2026-06-01,all,ch064,dv006,103
2026-07-01,all,ch064,dv007,104
2026-06-01,all,ch064,dv008,105
2026-07-01,all,ch064,dv009,106
2026-06-01,all,ch064,dv010,100
2026-07-01,all,ch065,dv000,101
2026-06-01,all,ch065,dv001,102
2026-07-01,all,ch065,dv002,103
2026-06-01,all,ch065,dv003,104
2026-07-01,all,ch065,dv004,105
2026-06-01,all,ch065,dv005,106
2026-07-01,all,ch065,dv006,100
2026-06-01,all,ch065,dv007,101
2026-07-01,all,ch065,dv008,102
2026-06-01,all,ch065,dv009,103
2026-07-01,all,ch065,dv010,104
2026-06-01,all,ch066,dv000,105
2026-07-01,all,ch066,dv001,106
2026-06-01,all,ch066,dv002,100
2026-07-01,all,ch066,dv003,101
2026-06-01,all,ch066,dv004,102
2026-07-01,all,ch066,dv005,103
2026-06-01,all,ch066,dv006,104
2026-07-01,all,ch066,dv007,105
2026-06-01,all,ch066,dv008,106
